time_of_day,district,total_request,dispatched_request,total_GMV,avg_trip_factor,driver_cancel_before_accept,driver_cancel_after_accept,driver_ask_rider_cancel,cancel_rate
Night,Quận 2,58,39,646973,1.1,0,5,0,0.08620689655
Night,Quận 9,19,5,159282,,0,1,0,0.05263157895
Night,Quận 4,33,32,824633,1.328571429,0,5,0,0.1515151515
Night,Bình Thạnh,90,84,2246854,1.288888889,0,11,0,0.1222222222
Night,Gò Vấp,52,50,1197786,1.15,0,12,0,0.2307692308
Night,Nhà Bè,18,12,207071,,0,1,0,0.05555555556
Night,Bình Chánh,30,10,174770,,0,6,0,0.2
Night,Tan Phu,45,37,1141629,1.2,0,7,0,0.1555555556
Night,Hóc Môn,9,1,85067,1.1,0,0,0,0
Night,Quận 1,402,382,10307401,1.316981132,0,59,0,0.1467661692
Night,Quận 3,85,84,1733827,1.316666667,0,18,0,0.2117647059
Night,Quận 12,26,13,150611,1.2,0,3,0,0.1153846154
Night,Quận 7,75,66,1577545,1.3,0,11,0,0.1466666667
Night,Phú Nhuận,31,31,830664,1.3,0,4,0,0.1290322581
Night,Thủ Đức,23,13,402786,,0,1,0,0.04347826087
Night,Quận 6,8,8,323915,1.1,0,0,0,0
Night,Tân Bình,108,97,2472834,1.294117647,1,17,0,0.1666666667
Night,Quận 11,9,9,199459,,0,1,0,0.1111111111
Night,Thủ Đức,21,11,236126,,0,2,0,0.09523809524
Night,Quận 3,20,20,457404,1.4,0,2,0,0.1
Night,Quận 12,6,3,19522,,0,0,0,0
Night,Tan Phu,30,22,341646,,0,7,0,0.2333333333
Night,Binh Tan,26,18,377144,1.3,0,6,0,0.2307692308
Night,Quận 5,35,32,1021650,1.3,0,0,0,0
Night,Củ Chi,3,0,,,0,0,0,0
Night,Bình Chánh,23,14,270852,1.3,0,0,0,0
Night,Hóc Môn,1,0,,,0,0,0,0
Night,Quận 10,35,31,849733,1.3,0,1,0,0.02857142857
Night,Tân Bình,52,50,1057474,1.325,0,4,0,0.07692307692
Night,Gò Vấp,33,30,843044,1.266666667,0,6,0,0.1818181818
Night,Quận 1,335,322,7825606,1.25046729,0,50,2,0.1552238806
Night,Nhà Bè,13,6,267429,,0,0,0,0
Night,Quận 8,33,32,608736,,0,7,0,0.2121212121
Night,Bình Thạnh,76,71,1466731,1.3,0,16,0,0.2105263158
Night,Quận 6,13,11,230062,,0,4,0,0.3076923077
Night,Quận 2,23,12,334300,,0,1,0,0.04347826087
Night,Quận 9,18,3,192418,,0,0,0,0
Night,Quận 11,2,2,25100,,0,0,0,0
Night,Quận 7,40,28,820447,1.2,0,3,0,0.075
Night,Phú Nhuận,28,25,576125,1.314285714,0,4,0,0.1428571429
Night,Quận 4,23,22,458703,1.366666667,0,6,0,0.2608695652
Night,Bình Thạnh,51,48,1416185,1.2,0,7,0,0.137254902
Night,Bình Chánh,12,4,89912,,0,0,0,0
Night,Quận 2,25,13,357908,,0,2,0,0.08
Night,Quận 7,27,24,700404,,0,4,0,0.1481481481
Night,Quận 5,38,37,1174597,1.261538462,0,4,0,0.1052631579
Night,Quận 4,18,18,466238,,0,3,0,0.1666666667
Night,Binh Tan,41,19,500037,,0,0,0,0
Night,Quận 12,13,3,106907,,0,0,0,0
Night,Tan Phu,17,15,485467,,0,3,0,0.1764705882
Night,Nhà Bè,3,1,40000,,0,0,0,0
Night,Hóc Môn,1,0,,,0,0,0,0
Night,Quận 9,25,3,84400,,0,0,0,0
Night,Quận 11,9,9,217535,,0,0,0,0
Night,Gò Vấp,37,25,573888,1.4,0,4,0,0.1081081081
Night,Quận 10,40,38,1062464,1.3,0,3,0,0.075
Night,Tân Bình,27,27,708512,1.5,0,5,0,0.1851851852
Night,Quận 8,15,6,178441,1.5,0,1,0,0.06666666667
Night,Quận 1,211,198,5077426,1.244680851,0,22,0,0.1042654028
Night,Quận 3,27,26,531031,1.15,0,5,0,0.1851851852
Night,Thủ Đức,20,8,157363,,0,1,0,0.05
Night,Phú Nhuận,19,16,384300,1.3,0,2,0,0.1052631579
Night,Quận 6,3,2,68792,,0,0,0,0
Night,Quận 4,20,19,622676,1.325,0,2,0,0.1
Night,Thủ Đức,49,21,706482,,0,1,0,0.02040816327
Night,Quận 5,45,43,1472993,1.288888889,0,3,0,0.06666666667
Night,Tân Bình,53,50,1183220,1.233333333,0,6,0,0.1132075472
Night,Gò Vấp,29,23,768043,1.266666667,0,1,0,0.03448275862
Night,Bình Thạnh,97,96,3192501,1.35,0,6,0,0.0618556701
Night,Quận 8,34,20,681948,,0,2,0,0.05882352941
Night,Nhà Bè,17,2,128133,,0,0,0,0
Night,Quận 6,6,6,241912,,0,1,0,0.1666666667
Night,Tan Phu,30,18,548432,1.266666667,0,2,0,0.06666666667
Night,Phú Nhuận,40,37,694807,1.4,0,5,0,0.125
Night,Quận 9,33,5,259033,,0,1,0,0.0303030303
Night,Quận 3,26,24,637999,1.3,0,0,0,0
Night,Bình Chánh,20,11,296208,,0,2,1,0.15
Night,Quận 10,24,24,769728,1.35,0,1,0,0.04166666667
Night,Hóc Môn,11,5,123640,1.3,0,0,0,0
Night,Quận 2,42,14,314733,,0,1,0,0.02380952381
Night,Binh Tan,46,27,849456,1.3,0,1,0,0.02173913043
Night,Quận 1,174,164,4246621,1.265517241,0,15,0,0.08620689655
Night,Quận 7,49,41,1243348,1.2,0,2,0,0.04081632653
Night,Quận 11,11,10,272751,,0,2,0,0.1818181818
Night,Quận 12,26,5,152325,,0,0,0,0
Night,Gò Vấp,116,92,3130602,1.385185185,1,8,0,0.0775862069
Night,Quận 10,75,72,2039872,1.3,0,4,0,0.05333333333
Night,Quận 2,92,49,1584696,1.44,0,1,0,0.01086956522
Night,Hóc Môn,16,8,403700,,0,0,0,0
Night,Quận 8,59,48,1799861,1.32,0,3,0,0.05084745763
Night,Quận 3,47,47,1315971,1.307142857,0,1,0,0.02127659574
Night,Quận 4,45,42,1032021,1.36,1,4,0,0.1111111111
Night,Quận 7,118,91,3088617,1.35,0,13,0,0.1101694915
Night,Quận 5,82,77,2805286,1.22,0,1,0,0.01219512195
Night,Thủ Đức,79,57,1787851,1.24,0,2,0,0.0253164557
Night,Quận 9,72,42,1172551,1.32,0,9,0,0.125
Night,Nhà Bè,41,21,726866,1.3,0,1,0,0.0243902439
Night,Phú Nhuận,55,47,1131294,1.2875,0,3,0,0.05454545455
Night,Binh Tan,91,73,2900946,1.2,0,8,0,0.08791208791
Night,Bình Chánh,34,13,521515,,0,0,0,0
Night,Quận 6,22,20,623414,1.133333333,0,1,0,0.04545454545
Night,Tân Bình,111,104,2935194,1.359375,0,4,0,0.03603603604
Night,Quận 12,95,30,943616,1.275,0,0,0,0
Night,Bình Thạnh,236,207,7190208,1.340625,0,13,0,0.05508474576
Night,Củ Chi,2,1,95752,,0,0,0,0
Night,Quận 11,19,19,681316,1.457142857,0,4,0,0.2105263158
Night,Tan Phu,68,53,1663870,1.377777778,0,6,0,0.08823529412
Night,Quận 1,175,165,5245638,1.347058824,0,9,0,0.05142857143
Night,Quận 4,110,110,2124939,1.157142857,1,15,0,0.1454545455
Night,Nhà Bè,24,18,505573,,0,4,0,0.1666666667
Night,Quận 5,113,106,2436785,1.21,0,9,0,0.0796460177
Night,Gò Vấp,232,213,5342382,1.227027027,1,32,0,0.1422413793
Night,Bình Thạnh,354,324,8194943,1.222,1,45,2,0.1355932203
Night,Quận 9,64,41,1010571,1.2,0,5,0,0.078125
Night,Quận 11,46,45,920288,1.27,0,3,0,0.0652173913
Night,Quận 3,207,198,5049450,1.288333333,0,22,1,0.1111111111
Night,Tân Bình,240,220,6405116,1.28125,24,25,0,0.2041666667
Night,Phú Nhuận,138,127,4023698,1.323076923,0,9,0,0.0652173913
Night,Quận 6,48,44,1161824,1.1,0,5,0,0.1041666667
Night,Binh Tan,139,106,2853661,1.225,1,14,0,0.1079136691
Night,Quận 12,90,48,1073568,,0,10,0,0.1111111111
Night,Củ Chi,1,0,,,0,0,0,0
Night,Quận 1,641,599,15983436,1.22,0,84,1,0.1326053042
Night,Quận 8,74,67,1857263,1.17,0,5,0,0.06756756757
Night,Bình Chánh,49,31,766719,,0,6,0,0.1224489796
Night,Quận 10,162,156,5139304,1.25875,0,14,0,0.08641975309
Night,Hóc Môn,19,3,86456,,0,0,0,0
Night,Thủ Đức,93,84,2745316,1.12,0,13,0,0.1397849462
Night,Quận 2,171,146,3610051,1.22,0,15,0,0.08771929825
Night,Tan Phu,126,121,3078132,1.185,0,15,0,0.119047619
Night,Quận 7,1001,479,8262085,1.45,13,57,1,0.07092907093
Afternoon Peak,Hoài Đức,125,65,1610523,,0,7,0,0.056
Afternoon Peak,Thanh Xuân,882,825,17269812,1.337825059,5,161,1,0.1893424036
Afternoon Peak,Tây Hồ,317,276,6734211,1.325,1,26,2,0.09148264984
Afternoon Peak,Hoàn Kiếm,429,410,9929880,1.469444444,0,56,1,0.1328671329
Afternoon Peak,Đống Đa,1145,1085,22731161,1.422535211,7,209,2,0.1903930131
Afternoon Peak,Mê Linh,17,1,,,0,0,0,0
Afternoon Peak,Phú Xuyên,2,0,,,0,0,0,0
Afternoon Peak,Thường Tín,5,2,119876,,1,0,0,0.2
Afternoon Peak,Ba Đình,537,497,11853343,1.462847222,7,60,2,0.1284916201
Afternoon Peak,Đan Phượng,7,4,97609,,0,0,0,0
Afternoon Peak,Thạch Thất,2,0,,,0,0,0,0
Afternoon Peak,Đông Anh,51,14,280234,,0,4,0,0.07843137255
Afternoon Peak,Chương Mỹ,3,1,,,0,0,0,0
Afternoon Peak,Hoàng Mai,908,805,18105268,1.270711297,4,119,2,0.1376651982
Afternoon Peak,Cầu Giấy,1381,1295,32399290,1.3899729,16,176,4,0.1419261405
Afternoon Peak,Long Biên,241,160,4967407,1.246666667,0,18,0,0.07468879668
Afternoon Peak,Từ Liêm,1638,1474,37158770,1.306588235,14,177,0,0.1166056166
Afternoon Peak,Thanh Trì,264,222,4811677,1.343243243,3,57,0,0.2272727273
Afternoon Peak,Hai Bà Trưng,752,691,18453280,1.395166163,4,75,4,0.1103723404
Afternoon Peak,Gia Lâm,85,41,1335404,1.133333333,0,2,0,0.02352941176
Afternoon Peak,Quốc Oai,4,0,,,0,0,0,0
Afternoon Peak,Thanh Oai,31,5,105304,,0,0,0,0
Afternoon Peak,Sóc Sơn,7,2,126478,,0,1,0,0.1428571429
Afternoon Peak,Hà Đông,458,398,10277797,1.296052632,1,59,0,0.1310043668
Afternoon Peak,Sơn Tây,2,0,,,0,0,0,0
Afternoon Peak,Hai Bà Trưng,832,798,24788475,1.316260163,2,96,0,0.1177884615
Afternoon Peak,Thanh Xuân,831,793,17149722,1.287356322,1,112,1,0.1371841155
Afternoon Peak,Ba Đình,549,522,12106582,1.378008299,10,62,2,0.1347905282
Afternoon Peak,Mê Linh,5,1,96498,,0,0,0,0
Afternoon Peak,Long Biên,242,187,5115732,1.157142857,2,31,0,0.1363636364
Afternoon Peak,Sơn Tây,6,0,,,0,0,0,0
Afternoon Peak,Cầu Giấy,1387,1312,28069229,1.323653846,30,146,1,0.1276135544
Afternoon Peak,Tây Hồ,368,283,6945546,1.273033708,0,26,1,0.07336956522
Afternoon Peak,Đông Anh,38,24,548979,,0,3,0,0.07894736842
Afternoon Peak,Phúc Thọ,8,0,,,0,0,0,0
Afternoon Peak,Đan Phượng,11,7,140365,,0,0,0,0
Afternoon Peak,Quốc Oai,1,0,,,0,0,0,0
Afternoon Peak,Hà Đông,462,429,10189646,1.231818182,1,80,1,0.1774891775
Afternoon Peak,Thanh Trì,248,220,5148253,1.256363636,1,53,0,0.2177419355
Afternoon Peak,Đống Đa,1160,1098,22492482,1.347368421,4,170,3,0.1525862069
Afternoon Peak,Sóc Sơn,14,2,94624,,0,0,0,0
Afternoon Peak,Ứng Hoà,3,0,,,0,0,0,0
Afternoon Peak,Thanh Oai,28,8,207375,,0,0,0,0
Afternoon Peak,Chương Mỹ,12,1,54539,,0,0,0,0
Afternoon Peak,Hoàn Kiếm,335,327,7579840,1.383941606,2,48,1,0.152238806
Afternoon Peak,Từ Liêm,1637,1469,37818962,1.254666667,8,158,2,0.1026267563
Afternoon Peak,Thạch Thất,5,0,,,0,0,0,0
Afternoon Peak,Mỹ Đức,19,3,,,0,0,0,0
Afternoon Peak,Gia Lâm,74,52,1802182,1.2,0,12,0,0.1621621622
Afternoon Peak,Hoàng Mai,875,818,18936761,1.240740741,4,137,0,0.1611428571
Afternoon Peak,Thường Tín,4,1,,,0,0,0,0
Afternoon Peak,Hoài Đức,175,77,1932302,1.2,0,5,0,0.02857142857
Day Off Peak,Hoàn Kiếm,240,220,5036198,1.556896552,2,25,0,0.1125
Day Off Peak,Đan Phượng,23,5,54339,,0,0,0,0
Day Off Peak,Ứng Hoà,3,0,,,0,0,0,0
Day Off Peak,Hai Bà Trưng,594,561,14135919,1.477595628,2,63,0,0.1094276094
Day Off Peak,Sóc Sơn,15,2,297909,,0,0,0,0
Day Off Peak,Đông Anh,34,16,92977,,0,1,0,0.02941176471
Day Off Peak,Chương Mỹ,9,2,124853,,0,0,0,0
Day Off Peak,Long Biên,242,123,3000895,1.261538462,0,13,0,0.05371900826
Day Off Peak,Cầu Giấy,1058,985,22418268,1.465693431,4,140,0,0.1361058601
Day Off Peak,Hà Đông,575,474,10750029,1.573170732,1,69,1,0.1234782609
Day Off Peak,Mê Linh,12,2,,,0,0,0,0
Day Off Peak,Thanh Trì,383,270,4576057,1.538461538,0,34,0,0.08877284595
Day Off Peak,Từ Liêm,1770,1535,40951659,1.438787879,23,150,0,0.09774011299
Day Off Peak,Sơn Tây,8,0,,,0,0,0,0
Day Off Peak,Thanh Oai,8,6,128779,,0,1,0,0.125
Day Off Peak,Hoàng Mai,913,829,19226083,1.393913043,7,142,0,0.1631982475
Day Off Peak,Đống Đa,902,848,17955924,1.505106383,7,109,0,0.1286031042
Day Off Peak,Mỹ Đức,2,1,,,0,0,0,0
Day Off Peak,Ba Đình,398,375,8563674,1.551515152,5,41,1,0.1180904523
Day Off Peak,Quốc Oai,1,0,,,0,0,0,0
Day Off Peak,Thanh Xuân,776,704,14878506,1.477884615,8,98,0,0.1365979381
Day Off Peak,Hoài Đức,93,51,1110246,,0,6,0,0.06451612903
Day Off Peak,Tây Hồ,252,193,5314368,1.294642857,1,19,0,0.07936507937
Day Off Peak,Gia Lâm,86,45,1434274,1.2,0,3,0,0.03488372093
Day Off Peak,Thường Tín,3,1,95735,,0,1,0,0.3333333333
Day Off Peak,Thạch Thất,13,1,,,0,0,0,0
Day Off Peak,Hai Bà Trưng,716,650,13128906,1.5875,6,84,0,0.125698324
Day Off Peak,Đan Phượng,36,9,126260,,0,3,0,0.08333333333
Day Off Peak,Long Biên,253,165,4124008,1.15,0,18,1,0.07509881423
Day Off Peak,Hoàn Kiếm,290,275,6103117,1.54,0,29,1,0.1034482759
Day Off Peak,Cầu Giấy,1259,1171,24154420,1.545238095,26,160,0,0.1477362986
Day Off Peak,Đống Đa,1084,1007,20742057,1.54609375,12,102,0,0.1051660517
Day Off Peak,Tây Hồ,292,238,5663615,1.385,2,18,2,0.07534246575
Day Off Peak,Hà Đông,520,405,10462625,1.468421053,1,69,0,0.1346153846
Day Off Peak,Thanh Xuân,833,758,15399051,1.534659091,13,96,0,0.1308523409
Day Off Peak,Quốc Oai,6,4,,,0,0,0,0
Day Off Peak,Ba Đình,467,425,8877705,1.537142857,3,60,0,0.1349036403
Day Off Peak,Thạch Thất,6,0,,,0,0,0,0
Day Off Peak,Thanh Trì,273,203,4026134,1.559574468,2,41,0,0.1575091575
Day Off Peak,Ứng Hoà,3,0,,,0,0,0,0
Day Off Peak,Từ Liêm,1665,1402,38774972,1.52028169,11,151,0,0.0972972973
Day Off Peak,Chương Mỹ,14,0,,,0,0,0,0
Day Off Peak,Hoài Đức,81,42,1017417,,0,6,0,0.07407407407
Day Off Peak,Đông Anh,30,18,801292,,0,2,0,0.06666666667
Day Off Peak,Thường Tín,1,0,,,0,0,0,0
Day Off Peak,Sóc Sơn,13,2,,,0,1,0,0.07692307692
Day Off Peak,Hoàng Mai,985,865,16685846,1.420535714,7,112,0,0.1208121827
Day Off Peak,Mê Linh,5,0,,,0,0,0,0
Day Off Peak,Gia Lâm,108,53,1592603,1.22,0,8,0,0.07407407407
Day Off Peak,Sơn Tây,7,0,,,0,0,0,0
Day Off Peak,Thanh Oai,16,9,264822,,0,0,0,0
Day Off Peak,Đan Phượng,27,7,254743,,0,0,0,0
Day Off Peak,Quốc Oai,2,0,,,0,0,0,0
Day Off Peak,Gia Lâm,77,42,1343694,1.28,0,8,0,0.1038961039
Day Off Peak,Chương Mỹ,1,0,,,0,0,0,0
Day Off Peak,Sóc Sơn,21,4,278704,,0,0,0,0
Day Off Peak,Thanh Xuân,917,826,14828403,1.404417671,9,170,2,0.1973827699
Day Off Peak,Long Biên,247,151,3741036,1.231818182,0,25,0,0.1012145749
Day Off Peak,Đông Anh,21,7,79809,,0,1,0,0.04761904762
Day Off Peak,Đống Đa,1469,1320,24621733,1.487475149,14,152,0,0.1130020422
Day Off Peak,Ba Đình,629,561,11649667,1.480952381,4,56,0,0.09538950715
Day Off Peak,Hoàng Mai,1043,882,17746065,1.386729858,5,168,1,0.1668264621
Day Off Peak,Ứng Hoà,2,0,,,0,0,0,0
Day Off Peak,Tây Hồ,335,263,6206735,1.36744186,0,36,1,0.1104477612
Day Off Peak,Thạch Thất,7,1,182499,,0,0,0,0
Day Off Peak,Hà Đông,506,428,10165157,1.355208333,4,41,0,0.08893280632
Day Off Peak,Hai Bà Trưng,856,776,14876575,1.493656716,8,105,3,0.1355140187
Day Off Peak,Từ Liêm,1902,1602,42286087,1.457971014,23,202,1,0.1188222923
Day Off Peak,Thanh Trì,269,198,4256327,1.391428571,5,17,0,0.08178438662
Day Off Peak,Cầu Giấy,1599,1467,31361314,1.466666667,41,194,2,0.148217636
Day Off Peak,Thường Tín,5,0,,,0,0,0,0
Day Off Peak,Hoài Đức,142,77,1207010,,0,10,0,0.07042253521
Day Off Peak,Thanh Oai,8,2,37771,,0,0,0,0
Day Off Peak,Hoàn Kiếm,415,374,9036503,1.46097561,1,55,1,0.1373493976
Day Off Peak,Hoài Đức,156,98,2292845,1.2,0,9,0,0.05769230769
Day Off Peak,Thạch Thất,2,0,,,0,0,0,0
Day Off Peak,Phúc Thọ,16,0,,,0,0,0,0
Day Off Peak,Hoàn Kiếm,358,333,8923253,1.279393939,1,41,0,0.1173184358
Day Off Peak,Từ Liêm,1674,1569,45662490,1.235580524,4,133,2,0.08303464755
Day Off Peak,Đông Anh,25,9,315583,,0,3,0,0.12
Day Off Peak,Hoàng Mai,870,803,19450007,1.242957746,1,93,0,0.108045977
Day Off Peak,Chương Mỹ,8,0,,,0,0,0,0
Day Off Peak,Long Biên,274,211,5970143,1.15,0,28,1,0.1058394161
Day Off Peak,Thanh Trì,197,181,4786720,1.21,0,30,0,0.152284264
Day Off Peak,Sóc Sơn,14,4,13635,,0,1,0,0.07142857143
Day Off Peak,Quốc Oai,4,0,,,0,0,0,0
Day Off Peak,Cầu Giấy,1326,1258,28563920,1.269656992,21,105,1,0.09577677225
Day Off Peak,Thanh Xuân,849,796,17964272,1.270992366,7,80,0,0.1024734982
Day Off Peak,Tây Hồ,328,288,7692281,1.221621622,1,33,0,0.1036585366
Day Off Peak,Đống Đa,1121,1062,25852574,1.284358974,5,100,3,0.09634255129
Day Off Peak,Thường Tín,7,2,124560,,0,0,0,0
Day Off Peak,Ba Vi,2,0,,,0,0,0,0
Day Off Peak,Ứng Hoà,3,0,,,0,0,0,0
Day Off Peak,Hà Đông,542,471,11854026,1.233333333,4,57,0,0.1125461255
Day Off Peak,Gia Lâm,76,57,2131142,,0,2,0,0.02631578947
Day Off Peak,Thanh Oai,23,7,210482,,0,0,0,0
Day Off Peak,Đan Phượng,38,9,114921,,0,1,0,0.02631578947
Day Off Peak,Mê Linh,8,2,213442,,0,0,0,0
Day Off Peak,Hai Bà Trưng,808,760,20244252,1.311170213,2,76,0,0.09653465347
Day Off Peak,Ba Đình,513,491,11616540,1.255345912,0,33,0,0.06432748538
Day Off Peak,Phúc Thọ,4,0,,,0,0,0,0
Day Off Peak,Thường Tín,5,1,,,0,0,0,0
Day Off Peak,Thanh Oai,33,7,284641,,0,0,0,0
Day Off Peak,Lương Sơn,1,0,,,0,0,0,0
Day Off Peak,Thanh Xuân,831,794,18227219,1.195906433,1,79,1,0.09747292419
Day Off Peak,Hoàn Kiếm,430,410,9838582,1.251546392,1,39,1,0.09534883721
Day Off Peak,Long Biên,290,218,5860972,1.116666667,0,18,0,0.06206896552
Day Off Peak,Tây Hồ,330,293,6987242,1.19,0,35,1,0.1090909091
Day Off Peak,Chương Mỹ,28,2,93665,,0,0,0,0
Day Off Peak,Thạch Thất,6,1,,,0,0,0,0
Day Off Peak,Hoài Đức,138,97,2560163,,0,16,0,0.115942029
Day Off Peak,Từ Liêm,1827,1652,41563661,1.243902439,4,189,2,0.1067323481
Day Off Peak,Đống Đa,1184,1124,25127930,1.228484848,1,115,0,0.09797297297
Day Off Peak,Hoàng Mai,1004,933,21601365,1.28988764,4,144,0,0.1474103586
Day Off Peak,Ba Đình,504,482,10823984,1.203361345,0,36,0,0.07142857143
Day Off Peak,Cầu Giấy,1498,1404,32789997,1.229022082,30,138,0,0.1121495327
Day Off Peak,Mê Linh,10,4,139594,,0,0,0,0
Day Off Peak,Đan Phượng,22,11,251164,,0,1,0,0.04545454545
Day Off Peak,Hai Bà Trưng,815,760,19277606,1.28490566,2,60,2,0.07852760736
Day Off Peak,Quốc Oai,1,0,,,0,0,0,0
Day Off Peak,Sơn Tây,13,1,,,0,0,0,0
Day Off Peak,Sóc Sơn,17,7,,,0,0,0,0
Day Off Peak,Thanh Trì,299,223,5751962,1.184615385,0,42,0,0.1404682274
Day Off Peak,Đông Anh,47,18,614606,,0,3,0,0.06382978723
Day Off Peak,Hà Đông,506,464,11782418,1.220289855,2,68,1,0.1403162055
Day Off Peak,Gia Lâm,105,60,1275333,1.1,0,6,0,0.05714285714
Evening Off Peak,Long Biên,511,225,4281991,1.257894737,1,26,0,0.05283757339
Evening Off Peak,Đống Đa,1392,1221,25342631,1.362701909,28,210,3,0.1731321839
Evening Off Peak,Thanh Oai,27,9,263588,,0,1,0,0.03703703704
Evening Off Peak,Hoài Đức,241,104,1515540,1.1,1,14,0,0.0622406639
Evening Off Peak,Mỹ Đức,1,0,,,0,0,0,0
Evening Off Peak,Đan Phượng,12,4,62130,,0,0,0,0
Evening Off Peak,Đông Anh,43,15,205846,,0,1,0,0.02325581395
Evening Off Peak,Sóc Sơn,8,4,,,0,0,0,0
Evening Off Peak,Hoàn Kiếm,593,504,11564136,1.480094787,5,80,2,0.1467116358
Evening Off Peak,Phú Xuyên,1,0,,,0,0,0,0
Evening Off Peak,Ba Đình,687,625,12932238,1.345422535,9,89,1,0.1441048035
Evening Off Peak,Mê Linh,9,2,13116,,0,1,0,0.1111111111
Evening Off Peak,Gia Lâm,120,38,879744,1.1625,1,4,0,0.04166666667
Evening Off Peak,Thạch Thất,2,0,,,0,0,0,0
Evening Off Peak,Hai Bà Trưng,860,779,16637734,1.344473008,12,106,2,0.1395348837
Evening Off Peak,Từ Liêm,1918,1612,35023961,1.261934156,12,206,2,0.1147028154
Evening Off Peak,Cầu Giấy,1615,1509,33044268,1.346183206,25,260,1,0.1770897833
Evening Off Peak,Tây Hồ,429,326,6520344,1.27,1,43,2,0.1072261072
Evening Off Peak,Thanh Trì,363,288,7130857,1.263414634,3,41,1,0.1239669421
Evening Off Peak,Hoàng Mai,1132,983,20941014,1.318243243,15,152,0,0.1475265018
Evening Off Peak,Hà Đông,549,471,9222993,1.252678571,3,77,0,0.14571949
Evening Off Peak,Sơn Tây,1,1,,,0,0,0,0
Evening Off Peak,Chương Mỹ,2,2,48717,,0,0,0,0
Evening Off Peak,Thanh Xuân,1066,933,17793504,1.280293501,19,132,3,0.1444652908
Evening Off Peak,Thường Tín,10,2,,,0,1,0,0.1
Evening Off Peak,Hoàng Mai,825,651,13181473,1.288815789,5,126,2,0.1612121212
Evening Off Peak,Đống Đa,1103,1033,19909146,1.267525773,10,177,1,0.170444243
Evening Off Peak,Tây Hồ,344,265,5590493,1.257777778,2,31,0,0.09593023256
Evening Off Peak,Chương Mỹ,9,2,27048,,0,0,0,0
Evening Off Peak,Thường Tín,6,0,,,0,0,0,0
Evening Off Peak,Sơn Tây,1,0,,,0,0,0,0
Evening Off Peak,Long Biên,290,142,2746584,1.263636364,0,18,2,0.06896551724
Evening Off Peak,Phúc Thọ,1,0,,,0,0,0,0
Evening Off Peak,Ba Đình,646,561,11355054,1.328855721,7,87,2,0.1486068111
Evening Off Peak,Đan Phượng,27,10,34664,,0,0,0,0
Evening Off Peak,Hai Bà Trưng,648,577,12866010,1.346078431,3,82,0,0.1311728395
Evening Off Peak,Gia Lâm,69,25,866782,1.1,0,3,0,0.04347826087
Evening Off Peak,Cầu Giấy,1179,1103,22587927,1.259325397,14,182,2,0.1679389313
Evening Off Peak,Sóc Sơn,7,1,,,0,0,0,0
Evening Off Peak,Thanh Oai,3,3,71202,,0,0,0,0
Evening Off Peak,Hoàn Kiếm,424,406,8118744,1.390434783,4,62,0,0.1556603774
Evening Off Peak,Đông Anh,55,13,140927,,0,2,0,0.03636363636
Evening Off Peak,Hà Đông,480,400,7503281,1.203448276,4,70,0,0.1541666667
Evening Off Peak,Hoài Đức,114,58,1405751,,1,10,0,0.09649122807
Evening Off Peak,Thanh Trì,215,165,3055893,1.183333333,2,30,0,0.1488372093
Evening Off Peak,Từ Liêm,1510,1282,27366379,1.231363636,9,165,3,0.117218543
Evening Off Peak,Thanh Xuân,808,756,14282982,1.233043478,5,102,2,0.1349009901
Evening Off Peak,Mê Linh,2,2,,,0,0,0,0
Evening Off Peak,Cầu Giấy,1375,1246,22370475,1.358789063,27,191,3,0.1607272727
Evening Off Peak,Từ Liêm,1407,1170,22940673,1.266115702,11,184,0,0.1385927505
Evening Off Peak,Hoàng Mai,883,704,12163828,1.247682119,8,126,1,0.1528878822
Evening Off Peak,Thanh Xuân,922,789,13742497,1.319081272,18,118,1,0.1485900217
Evening Off Peak,Long Biên,249,105,2263077,1.206666667,0,14,0,0.0562248996
Evening Off Peak,Chương Mỹ,7,1,,,0,0,0,0
Evening Off Peak,Đông Anh,35,6,111688,,0,1,0,0.02857142857
Evening Off Peak,Thường Tín,3,0,,,0,0,0,0
Evening Off Peak,Hoài Đức,200,86,1260444,,0,9,1,0.05
Evening Off Peak,Gia Lâm,101,34,819996,1.175,2,3,0,0.0495049505
Evening Off Peak,Ba Vi,1,0,,,0,0,0,0
Evening Off Peak,Hoàn Kiếm,929,688,12569744,1.456118143,7,129,4,0.1506996771
Evening Off Peak,Ba Đình,631,545,10021275,1.353333333,9,83,1,0.147385103
Evening Off Peak,Tây Hồ,415,260,4543402,1.28,2,29,3,0.08192771084
Evening Off Peak,Hà Đông,458,352,6745807,1.266666667,4,70,2,0.1659388646
Evening Off Peak,Hai Bà Trưng,772,704,12964262,1.367153285,6,145,1,0.1968911917
Evening Off Peak,Thanh Trì,216,154,3024866,1.233333333,2,26,1,0.1342592593
Evening Off Peak,Thạch Thất,1,0,,,0,0,0,0
Evening Off Peak,Thanh Oai,7,2,25296,,0,1,0,0.1428571429
Evening Off Peak,Phúc Thọ,1,0,,,0,0,0,0
Evening Off Peak,Sóc Sơn,14,5,13116,,0,1,0,0.07142857143
Evening Off Peak,Đống Đa,1344,1153,21656868,1.401811594,27,239,1,0.1986607143
Evening Off Peak,Đan Phượng,12,0,,,0,0,0,0
Evening Off Peak,Thanh Trì,127,105,2030865,1.317391304,3,28,0,0.2440944882
